Name,Size,Price,Link,MRP
Bjain Camphora Dilution 6C,bottle of 30 ml Dilution,85.5,https://www.1mg.com/otc/bjain-camphora-dilution-6c-otc437371,MRP₹9510% OFF
SBL Uranium Muriaticum Dilution 200 CH,bottle of 30 ml Dilution,113,https://www.1mg.com/otc/sbl-uranium-muriaticum-dilution-200-ch-otc359224,MRP₹1152% OFF
SBL Illicium Anisatum Dilution 1000 CH,bottle of 30 ml Dilution,130,https://www.1mg.com/otc/sbl-illicium-anisatum-dilution-1000-ch-otc353600,MRP₹1407% OFF
Bjain Argentum Nitricum Dilution 12C,bottle of 100 ml Dilution,,https://www.1mg.com/otc/bjain-argentum-nitricum-dilution-12c-otc433141,
Bjain Cactus Grandiflorus Globules 0/24 LM,bottle of 6 gm Globules,76.5,https://www.1mg.com/otc/bjain-cactus-grandiflorus-globules-0-24-lm-otc824100,MRP₹8510% OFF
SBL Aconitum Ferox Dilution 200 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/sbl-aconitum-ferox-dilution-200-ch-otc350644,
Ralson Remedies Calcarea Sulphurica Biochemic Tablet 3X,bottle of 25 gm Biochemic Tablet,82.6,https://www.1mg.com/otc/ralson-remedies-calcarea-sulphurica-biochemic-tablet-3x-otc500526,MRP₹853% OFF
Wheezal Plumbum Metallicum Globules 0/34 LM,bottle of 20 gm Globules,169,https://www.1mg.com/otc/wheezal-plumbum-metallicum-globules-0-34-lm-otc898446,MRP₹1806% OFF
Ralson Remedies Kali Phosphoricum Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,92.3,https://www.1mg.com/otc/ralson-remedies-kali-phosphoricum-biochemic-tablet-6x-otc533045,MRP₹953% OFF
LDD Bioscience Ferrum Arsenicum Dilution 1000 CH,bottle of 100 ml Dilution,207,https://www.1mg.com/otc/ldd-bioscience-ferrum-arsenicum-dilution-1000-ch-otc841821,MRP₹23010% OFF
Wheezal Arsenicum Metallicu Globules 0/52 LM,bottle of 20 gm Globules,178,https://www.1mg.com/otc/wheezal-arsenicum-metallicu-globules-0-52-lm-otc898426,MRP₹1801% OFF
Wheezal Kali Carbonicum Globules 0/26 LM,bottle of 20 gm Globules,178,https://www.1mg.com/otc/wheezal-kali-carbonicum-globules-0-26-lm-otc895776,MRP₹1801% OFF
Dr. Majumder Homeo World Acidum Picricum Dilution (30ml Each) 50M,box of 1 Bottle,,https://www.1mg.com/otc/dr.-majumder-homeo-world-acidum-picricum-dilution-30ml-each-50m-otc852640,
Bakson's Homeopathy Dulcamara Dilution 6X,bottle of 30 ml Dilution,92,https://www.1mg.com/otc/bakson-s-homeopathy-dulcamara-dilution-6x-otc760801,MRP₹1008% OFF
ADEL Dioscorea Vill. Dilution CM,bottle of 10 ml Dilution,278,https://www.1mg.com/otc/adel-dioscorea-vill.-dilution-cm-otc763711,MRP₹2904% OFF
Wheezal Calcarea Fluorica Globules 0/9 LM,bottle of 120 gm Globules,169,https://www.1mg.com/otc/wheezal-calcarea-fluorica-globules-0-9-lm-otc886904,MRP₹1806% OFF
SBL Calcarea Ova Tosta Dilution 200 CH,bottle of 30 ml Dilution,88.4,https://www.1mg.com/otc/sbl-calcarea-ova-tosta-dilution-200-ch-otc351529,MRP₹957% OFF
Wheezal Arsenicum Album Globules 0/21 LM,bottle of 20 gm Globules,167,https://www.1mg.com/otc/wheezal-arsenicum-album-globules-0-21-lm-otc883313,MRP₹1807% OFF
LDD Bioscience Dioscorea Dilution 1000 CH,bottle of 100 ml Dilution,207,https://www.1mg.com/otc/ldd-bioscience-dioscorea-dilution-1000-ch-otc841492,MRP₹23010% OFF
Dr. Reckeweg Magnesium Phosphoricum Dilution 6 CH,bottle of 11 ml Dilution,,https://www.1mg.com/otc/dr.-reckeweg-magnesium-phosphoricum-dilution-6-ch-otc374497,
LDD Bioscience Kali Iodatum 3X,bottle of 450 gm Tablet,756,https://www.1mg.com/otc/ldd-bioscience-kali-iodatum-3x-otc779512,MRP₹84010% OFF
Dr. Raj Arthro Gold Oil,bottle of 100 ml Oil,162,https://www.1mg.com/otc/dr.-raj-arthro-gold-oil-otc549299,MRP₹1705% OFF
